"№","Region (RU)","Region (BA)","Region (ENG)","Region (Com. Turk. BA)","District (RU)","District (BA)","District (ENG)","District (Com. Turk. BA)","Name (RU)","Name (BA)","Name (ENG)","Name (Com. Turk. BA)","Clan (RU)","Clan (BA)","Clan (ENG)","Clan (Com. Turk. BA)","Dialect (RU)","Dialect (BA)","Dialect (ENG)","Dialect (Com. Turk. BA)","Sub-dialect & Variety (RU)","Sub-dialect & Variety (BA)","Sub-dialect & Variety (ENG)","Sub-dialect & Variety (Com. Turk. BA)","Map Link","latitude","longitude","Status"
"878","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Благоварский район","Благовар районы","Blagovarsky district","Blagovar rayonı","Баштерма","Баштирмә","Bashterma","Baştirmä","Минг","Мең","Ming","Meñ","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Дёмский говор","Дим һөйләше","Dyoma sub-dialect","Dim höyläşe","https://www.openstreetmap.org/#map=14/54.61300/55.13336","54.613","55.13336",""
"879","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Благоварский район","Благовар районы","Blagovarsky district","Blagovar rayonı","Старокучербаево","Иҫке Кусәрбай","Starokucherbaevo","İśke Küsärbay","Дуван","Дыуан","Duvan","Dıwan","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Нижнебельско-Икский говор","Түбәнге Ағиҙел-Ыҡ һөйләше","Lower Belaya-Ik sub-dialect","Tübänge Ağiźel-Ik höyläşe","https://www.openstreetmap.org/#map=12/54.9061/54.8514","54.9061","54.8514",""
"880","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Благоварский район","Благовар районы","Blagovarsky district","Blagovar rayonı","Ахметово","Әхмәт","Akhmetovo","Äxmät","Дуван","Дыуан","Duvan","Dıwan","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Нижнебельско-Икский говор","Түбәнге Ағиҙел-Ыҡ һөйләше","Lower Belaya-Ik sub-dialect","Tübänge Ağiźel-Ik höyläşe","https://www.openstreetmap.org/#map=14/54.90969/54.90445","54.90969","54.90445",""
"881","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Благоварский район","Благовар районы","Blagovarsky district","Blagovar rayonı","Староамирово","Иҫке Әмир","Staroamirovo","İśke Ämir","Канглы","Ҡаңлы","Kangly","Qañlı","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Нижнебельско-Икский говор","Түбәнге Ағиҙел-Ыҡ һөйләше","Lower Belaya-Ik sub-dialect","Tübänge Ağiźel-Ik höyläşe","https://www.openstreetmap.org/#map=14/54.66302/54.66884","54.66302","54.66884",""
"882","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Благоварский район","Благовар районы","Blagovarsky district","Blagovar rayonı","Старые Санны","Иҫке Һынны","Staryye Sanny","İśke Hınnı","Канглы","Ҡаңлы","Kangly","Qañlı","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Нижнебельско-Икский говор","Түбәнге Ағиҙел-Ыҡ һөйләше","Lower Belaya-Ik sub-dialect","Tübänge Ağiźel-Ik höyläşe","https://www.openstreetmap.org/#map=13/54.66829/54.73032","54.66829","54.73032",""
"883","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Благоварский район","Благовар районы","Blagovarsky district","Blagovar rayonı","Староабзаново","Иҫке Абзан","Staroabzanovo","İśke Abzan","Канглы","Ҡаңлы","Kangly","Qañlı","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Нижнебельско-Икский говор","Түбәнге Ағиҙел-Ыҡ һөйләше","Lower Belaya-Ik sub-dialect","Tübänge Ağiźel-Ik höyläşe","https://www.openstreetmap.org/#map=13/54.90753/54.78988","54.90753","54.78988",""
"884","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Благоварский район","Благовар районы","Blagovarsky district","Blagovar rayonı","Новоабзаново","Яңы Абзан","Novoabzanovo","Yañı Abzan","Канглы","Ҡаңлы","Kangly","Qañlı","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Нижнебельско-Икский говор","Түбәнге Ағиҙел-Ыҡ һөйләше","Lower Belaya-Ik sub-dialect","Tübänge Ağiźel-Ik höyläşe","https://www.openstreetmap.org/#map=14/54.90944/54.74781","54.90944","54.74781",""
"885","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Благоварский район","Благовар районы","Blagovarsky district","Blagovar rayonı","Тюркеево","Төркәй","Tyurkeyevo","Törkäy","Канглы","Ҡаңлы","Kangly","Qañlı","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Нижнебельско-Икский говор","Түбәнге Ағиҙел-Ыҡ һөйләше","Lower Belaya-Ik sub-dialect","Tübänge Ağiźel-Ik höyläşe","https://www.openstreetmap.org/#map=14/54.89098/54.93415","54.89098","54.93415",""
"886","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Благоварский район","Благовар районы","Blagovarsky district","Blagovar rayonı","Новый Сынташ","Яңы Һынташ","Novy Syntash","Yañı Hıntaş","Канглы","Ҡаңлы","Kangly","Qañlı","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Нижнебельско-Икский говор","Түбәнге Ағиҙел-Ыҡ һөйләше","Lower Belaya-Ik sub-dialect","Tübänge Ağiźel-Ik höyläşe","https://www.openstreetmap.org/#map=14/54.87301/55.02719","54.87301","55.02719",""
"887","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Благоварский район","Благовар районы","Blagovarsky district","Blagovar rayonı","Старый Сынташ","Иҫке Һынташ","Stary Syntash","İśke Hıntaş","Канглы","Ҡаңлы","Kangly","Qañlı","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Нижнебельско-Икский говор","Түбәнге Ағиҙел-Ыҡ һөйләше","Lower Belaya-Ik sub-dialect","Tübänge Ağiźel-Ik höyläşe","https://www.openstreetmap.org/#map=14/54.89059/55.03466","54.89059","55.03466",""
"888","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Благоварский район","Благовар районы","Blagovarsky district","Blagovar rayonı","Сынташтамак","Һынташтамаҡ","Syntashtamak","Hıntaştamaq","Канглы","Ҡаңлы","Kangly","Qañlı","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Нижнебельско-Икский говор","Түбәнге Ағиҙел-Ыҡ һөйләше","Lower Belaya-Ik sub-dialect","Tübänge Ağiźel-Ik höyläşe","https://www.openstreetmap.org/#map=14/54.91063/55.00238","54.91063","55.00238",""
"889","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Благоварский район","Благовар районы","Blagovarsky district","Blagovar rayonı","Янышево","Яныш","Yanyshevo","Yanış","Канглы","Ҡаңлы","Kangly","Qañlı","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Нижнебельско-Икский говор","Түбәнге Ағиҙел-Ыҡ һөйләше","Lower Belaya-Ik sub-dialect","Tübänge Ağiźel-Ik höyläşe","https://www.openstreetmap.org/#map=13/54.92213/55.08841","54.92213","55.08841",""
